path,verdict,detail,samplerate,cutoff_hz,nyquist_hz,slope_db_per_khz
/home/adam/driveBig/Music/My Playlist/Bullet Proof... I Wish I Was - Radiohead - The Bends.flac,CLEAN,content extends to 21199Hz (Nyquist 22050Hz) - looks genuine,44100,21199,22050,17.2
/home/adam/driveBig/Music/My Playlist/But It’s Alright - Huey Lewis & The News - Greatest Hits.flac,CLEAN,content extends to 21248Hz (Nyquist 22050Hz) - looks genuine,44100,21248,22050,16.5
/home/adam/driveBig/Music/My Playlist/C'mon Girl - Red Hot Chili Peppers - Stadium Arcadium.flac,CLEAN,content extends to 21243Hz (Nyquist 22050Hz) - looks genuine,44100,21243,22050,15.3
/home/adam/driveBig/Music/My Playlist/Cabron - Red Hot Chili Peppers - By the Way.flac,CLEAN,content extends to 21221Hz (Nyquist 22050Hz) - looks genuine,44100,21221,22050,14.5
/home/adam/driveBig/Music/My Playlist/Cassy O' - George Ezra - Wanted on Voyage (Deluxe Edition).flac,CLEAN,content extends to 21189Hz (Nyquist 22050Hz) - looks genuine,44100,21189,22050,14.2
/home/adam/driveBig/Music/My Playlist/Catch Me - Jvke - This is What ____ Feels Like.flac,CLEAN,content extends to 21205Hz (Nyquist 22050Hz) - looks genuine,44100,21205,22050,19.1
/home/adam/driveBig/Music/My Playlist/CCF (I'm Gonna Stay With You) - Car Seat Headrest - The Scholars.flac,CLEAN,content extends to 21409Hz (Nyquist 22050Hz) - looks genuine,44100,21409,22050,24.1
/home/adam/driveBig/Music/My Playlist/Breathe - Pink Floyd - The Dark Side of the Moon.flac,CLEAN,content extends to 22050Hz (Nyquist 22050Hz) - looks genuine,44100,22050,22050,-30.1
/home/adam/driveBig/Music/My Playlist/Change Your Mind - Bully - Lucky for You.flac,CLEAN,content extends to 21307Hz (Nyquist 22050Hz) - looks genuine,44100,21307,22050,20.7
/home/adam/driveBig/Music/My Playlist/Chocolat Cadabra - Ado - Ado's Best Adobum.flac,CLEAN,content extends to 21458Hz (Nyquist 22050Hz) - looks genuine,44100,21458,22050,26.8
/home/adam/driveBig/Music/My Playlist/Collared Shirt - BoyWithUke - BoyWithUke - B Sides.flac,CLEAN,content extends to 21404Hz (Nyquist 22050Hz) - looks genuine,44100,21404,22050,5.8
/home/adam/driveBig/Music/My Playlist/Comfort Eagle - CAKE.flac,CLEAN,content extends to 21393Hz (Nyquist 22050Hz) - looks genuine,44100,21393,22050,28.1
/home/adam/driveBig/Music/My Playlist/Commotion - Creedence Clearwater Revival - Platinum.flac,CLEAN,content extends to 21173Hz (Nyquist 22050Hz) - looks genuine,44100,21173,22050,11.7
/home/adam/driveBig/Music/My Playlist/Contigo - BoyWithUke; Powfu - Serotonin Dreams.flac,CLEAN,content extends to 21183Hz (Nyquist 22050Hz) - looks genuine,44100,21183,22050,12.2
